IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.59.244,8080,8080,false,KIX,Asia Pacific,Osaka,92,3.72
8.209.222.232,2086,2086,false,HKG,Asia Pacific,Hong Kong,232,3.25
47.245.11.216,2096,2096,true,SIN,Asia Pacific,Singapore,213,2.98
8.218.142.253,2082,2082,false,SIN,Asia Pacific,Singapore,143,2.92
8.218.142.253,2086,2086,false,SIN,Asia Pacific,Singapore,148,2.63
103.20.222.201,42293,443,true,HKG,Asia Pacific,Hong Kong,86,2.34
47.245.39.49,2053,2053,true,HKG,Asia Pacific,Hong Kong,261,2.17
8.219.83.201,8880,8880,false,SIN,Asia Pacific,Singapore,98,2.14
47.245.39.49,2082,2082,false,HKG,Asia Pacific,Hong Kong,217,2.07
8.218.142.253,2087,2087,true,SIN,Asia Pacific,Singapore,144,1.95
47.245.59.133,2082,2082,false,HKG,Asia Pacific,Hong Kong,253,1.93
47.245.59.244,2082,2082,false,HKG,Asia Pacific,Hong Kong,248,1.88
45.152.64.87,34237,2096,true,HKG,Asia Pacific,Hong Kong,184,1.83
8.219.66.156,80,80,false,SIN,Asia Pacific,Singapore,450,1.80
8.218.11.90,80,80,false,HKG,Asia Pacific,Hong Kong,93,1.73
8.218.11.90,2082,2082,false,HKG,Asia Pacific,Hong Kong,77,1.69
47.91.31.231,2086,2086,false,NRT,Asia Pacific,Tokyo,162,1.65
8.209.255.195,2052,2052,false,HKG,Asia Pacific,Hong Kong,284,1.65
47.91.10.228,2052,2052,false,HKG,Asia Pacific,Hong Kong,246,1.53
47.236.97.254,8880,8880,false,SIN,Asia Pacific,Singapore,113,1.48
147.78.247.218,4559,443,true,HKG,Asia Pacific,Hong Kong,236,1.43
47.91.10.241,8080,8080,false,KIX,Asia Pacific,Osaka,79,1.42
156.251.183.241,30808,80,false,HKG,Asia Pacific,Hong Kong,137,1.41
223.122.34.18,30466,443,true,HKG,Asia Pacific,Hong Kong,124,1.34
8.209.222.232,80,80,false,HKG,Asia Pacific,Hong Kong,244,1.27
47.245.39.49,8443,8443,true,HKG,Asia Pacific,Hong Kong,232,1.25
8.209.255.195,8880,8880,false,HKG,Asia Pacific,Hong Kong,278,1.21
47.245.54.58,8880,8880,false,KIX,Asia Pacific,Osaka,79,1.19
8.222.129.245,2095,2095,false,SIN,Asia Pacific,Singapore,99,1.18
47.245.39.49,2087,2087,true,HKG,Asia Pacific,Hong Kong,242,1.09
150.230.205.56,8880,8880,false,KIX,Asia Pacific,Osaka,147,1.09
47.245.59.244,2053,2053,true,HKG,Asia Pacific,Hong Kong,282,1.09
27.109.170.8,15829,443,true,HKG,Asia Pacific,Hong Kong,304,1.08
39.126.158.244,39048,443,true,ICN,Asia Pacific,Seoul,315,1.03
59.187.242.236,27677,80,false,ICN,Asia Pacific,Seoul,103,1.03
8.219.66.156,2095,2095,false,HKG,Asia Pacific,Hong Kong,360,1.03
47.245.37.29,8880,8880,false,KIX,Asia Pacific,Osaka,176,1.03
47.236.94.113,2087,2087,true,SIN,Asia Pacific,Singapore,148,1.02
47.236.114.167,8080,8080,false,SIN,Asia Pacific,Singapore,103,1.00
47.243.70.197,2083,2083,true,SIN,Asia Pacific,Singapore,122,0.99
8.209.222.232,2095,2095,false,HKG,Asia Pacific,Hong Kong,280,0.98
47.243.70.197,80,80,false,SIN,Asia Pacific,Singapore,145,0.96
47.243.70.197,2095,2095,false,SIN,Asia Pacific,Singapore,100,0.96
47.245.59.133,80,80,false,HKG,Asia Pacific,Hong Kong,243,0.96
47.245.59.133,2052,2052,false,NRT,Asia Pacific,Tokyo,112,0.94
8.209.222.232,8880,8880,false,HKG,Asia Pacific,Hong Kong,216,0.92
