IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
39.126.158.244,33784,443,true,ICN,Asia Pacific,Seoul,306,4.05
49.142.75.128,10194,443,true,ICN,Asia Pacific,Seoul,55,4.05
111.118.49.163,23594,443,true,ICN,Asia Pacific,Seoul,93,3.26
49.142.75.128,25265,443,true,ICN,Asia Pacific,Seoul,65,2.88
111.118.49.163,38071,443,true,ICN,Asia Pacific,Seoul,93,2.52
49.1.224.137,11803,443,true,ICN,Asia Pacific,Seoul,99,2.35
111.118.49.163,26198,443,true,ICN,Asia Pacific,Seoul,58,2.19
49.142.66.75,35573,443,true,ICN,Asia Pacific,Seoul,100,2.17
111.118.49.163,38319,443,true,ICN,Asia Pacific,Seoul,97,2.12
111.118.49.163,20998,443,true,ICN,Asia Pacific,Seoul,62,2.10
58.76.170.119,30054,443,true,ICN,Asia Pacific,Seoul,70,2.03
58.76.168.123,24773,443,true,ICN,Asia Pacific,Seoul,94,2.02
49.142.75.128,30361,443,true,ICN,Asia Pacific,Seoul,69,2.01
101.235.209.154,12065,443,true,ICN,Asia Pacific,Seoul,97,2.01
101.235.197.211,19760,8443,true,ICN,Asia Pacific,Seoul,100,1.90
49.142.66.75,29528,443,true,ICN,Asia Pacific,Seoul,99,1.88
58.141.91.212,50034,443,true,ICN,Asia Pacific,Seoul,96,1.86
49.142.66.75,18707,443,true,ICN,Asia Pacific,Seoul,98,1.81
49.142.75.128,19468,443,true,ICN,Asia Pacific,Seoul,97,1.80
111.118.49.163,31739,443,true,ICN,Asia Pacific,Seoul,99,1.79
111.118.49.163,24778,443,true,ICN,Asia Pacific,Seoul,101,1.73
111.118.25.110,10130,443,true,ICN,Asia Pacific,Seoul,98,1.72
111.118.49.163,37369,443,true,ICN,Asia Pacific,Seoul,101,1.70
49.142.75.128,38740,443,true,ICN,Asia Pacific,Seoul,75,1.70
39.126.158.244,32378,443,true,ICN,Asia Pacific,Seoul,291,1.68
49.142.75.128,24818,443,true,ICN,Asia Pacific,Seoul,101,1.62
58.76.168.123,35169,443,true,ICN,Asia Pacific,Seoul,95,1.60
101.235.197.211,33272,443,true,ICN,Asia Pacific,Seoul,98,1.60
111.118.49.163,15538,443,true,ICN,Asia Pacific,Seoul,94,1.50
58.141.125.141,30059,443,true,ICN,Asia Pacific,Seoul,93,1.50
101.235.197.211,19818,443,true,ICN,Asia Pacific,Seoul,98,1.45
111.118.49.163,36959,443,true,ICN,Asia Pacific,Seoul,70,1.45
49.142.75.128,10212,443,true,ICN,Asia Pacific,Seoul,96,1.41
58.141.125.141,30053,443,true,ICN,Asia Pacific,Seoul,62,1.39
111.118.49.163,27716,443,true,ICN,Asia Pacific,Seoul,100,1.38
58.76.168.123,17112,443,true,ICN,Asia Pacific,Seoul,58,1.38
58.141.91.212,30054,443,true,ICN,Asia Pacific,Seoul,120,1.36
58.141.92.80,30064,443,true,ICN,Asia Pacific,Seoul,95,1.36
39.126.160.150,38099,443,true,ICN,Asia Pacific,Seoul,261,1.35
111.118.49.163,29282,443,true,ICN,Asia Pacific,Seoul,70,1.35
58.76.168.123,23892,443,true,ICN,Asia Pacific,Seoul,93,1.33
49.1.227.184,14002,443,true,ICN,Asia Pacific,Seoul,100,1.33
49.142.75.128,19653,443,true,ICN,Asia Pacific,Seoul,101,1.31
49.142.75.128,18367,443,true,ICN,Asia Pacific,Seoul,94,1.26
111.118.49.163,11334,443,true,ICN,Asia Pacific,Seoul,99,1.26
49.142.75.128,34121,443,true,ICN,Asia Pacific,Seoul,95,1.25
111.118.49.163,11308,443,true,ICN,Asia Pacific,Seoul,96,1.23
182.172.219.82,30011,443,true,ICN,Asia Pacific,Seoul,76,1.19
58.141.125.141,30064,443,true,ICN,Asia Pacific,Seoul,99,1.19
39.126.160.150,29493,443,true,ICN,Asia Pacific,Seoul,293,1.18
39.126.160.150,11786,443,true,ICN,Asia Pacific,Seoul,273,1.15
58.76.172.250,30059,443,true,ICN,Asia Pacific,Seoul,93,1.14
27.35.13.136,31703,443,true,ICN,Asia Pacific,Seoul,75,1.09
49.142.75.128,38888,443,true,ICN,Asia Pacific,Seoul,98,1.09
58.76.168.123,28504,443,true,ICN,Asia Pacific,Seoul,100,1.08
58.76.168.123,19879,443,true,ICN,Asia Pacific,Seoul,69,1.08
111.118.49.163,18666,443,true,ICN,Asia Pacific,Seoul,96,1.06
59.187.242.236,34933,443,true,ICN,Asia Pacific,Seoul,96,1.03
58.76.168.123,11859,443,true,ICN,Asia Pacific,Seoul,98,0.99
58.76.168.123,14045,443,true,ICN,Asia Pacific,Seoul,72,0.98
58.76.168.123,19800,443,true,ICN,Asia Pacific,Seoul,95,0.97
