IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.243.201.2,2053,443,true,NRT,Asia Pacific,Tokyo,179,6.07
47.245.59.244,2086,2086,false,HKG,Asia Pacific,Hong Kong,364,5.79
193.32.151.17,38489,443,true,NRT,Asia Pacific,Tokyo,105,5.26
43.153.181.217,80,80,false,HKG,Asia Pacific,Hong Kong,168,5.01
154.197.92.113,5010,443,true,HKG,Asia Pacific,Hong Kong,118,5.00
47.236.125.62,2086,2086,false,HKG,Asia Pacific,Hong Kong,324,4.93
193.32.149.196,17809,0,false,HKG,Asia Pacific,Hong Kong,169,4.76
62.106.70.112,30963,443,true,NRT,Asia Pacific,Tokyo,203,4.46
154.12.191.87,10809,80,false,HKG,Asia Pacific,Hong Kong,202,4.15
154.197.92.74,5010,443,true,HKG,Asia Pacific,Hong Kong,135,3.77
103.20.199.180,59397,443,true,NRT,Asia Pacific,Tokyo,103,3.63
154.197.92.101,5010,443,true,SIN,Asia Pacific,Singapore,167,3.53
47.245.11.216,2052,2052,false,HKG,Asia Pacific,Hong Kong,364,3.36
193.123.233.143,2083,80,false,HKG,Asia Pacific,Hong Kong,163,3.23
154.40.62.185,34237,2096,true,NRT,Asia Pacific,Tokyo,177,3.19
47.245.59.243,8880,8880,false,NRT,Asia Pacific,Tokyo,165,3.19
47.91.31.231,2095,2095,false,SIN,Asia Pacific,Singapore,280,2.71
103.201.130.240,22138,443,true,NRT,Asia Pacific,Tokyo,116,2.50
195.245.241.30,12345,443,true,NRT,Asia Pacific,Tokyo,118,2.37
195.245.242.51,34237,2096,true,NRT,Asia Pacific,Tokyo,174,2.33
103.117.102.7,46665,443,true,HKG,Asia Pacific,Hong Kong,200,2.22
103.117.102.7,46656,443,true,HKG,Asia Pacific,Hong Kong,114,2.20
45.143.235.42,8443,443,true,NRT,Asia Pacific,Tokyo,132,2.09
154.197.92.106,5010,443,true,HKG,Asia Pacific,Hong Kong,193,1.90
154.197.92.68,5010,443,true,HKG,Asia Pacific,Hong Kong,106,1.85
151.145.65.8,2096,2096,true,NRT,Asia Pacific,Tokyo,148,1.78
147.78.244.76,34237,2096,true,NRT,Asia Pacific,Tokyo,208,1.76
103.117.102.7,55566,443,true,HKG,Asia Pacific,Hong Kong,179,1.61
45.143.234.181,56649,443,true,NRT,Asia Pacific,Tokyo,169,1.56
158.179.178.145,2087,2087,true,NRT,Asia Pacific,Tokyo,168,1.51
154.197.92.100,5010,443,true,HKG,Asia Pacific,Hong Kong,116,1.48
168.138.206.109,8080,8080,false,NRT,Asia Pacific,Tokyo,137,1.43
168.138.202.169,2086,2086,false,NRT,Asia Pacific,Tokyo,169,1.40
154.197.92.120,5010,443,true,HKG,Asia Pacific,Hong Kong,169,1.35
154.197.92.124,5010,443,true,HKG,Asia Pacific,Hong Kong,170,1.32
141.147.182.70,2082,2082,false,NRT,Asia Pacific,Tokyo,199,1.29
132.145.122.95,2095,2095,false,NRT,Asia Pacific,Tokyo,169,1.26
131.186.58.151,2083,2083,true,NRT,Asia Pacific,Tokyo,130,1.25
158.179.180.233,2082,2082,false,NRT,Asia Pacific,Tokyo,173,1.23
168.138.215.188,8080,8080,false,NRT,Asia Pacific,Tokyo,143,1.20
158.101.137.96,2082,2082,false,NRT,Asia Pacific,Tokyo,106,1.20
154.12.191.87,41809,80,false,HKG,Asia Pacific,Hong Kong,170,1.18
154.197.92.108,5010,443,true,HKG,Asia Pacific,Hong Kong,105,1.18
154.197.92.69,5010,443,true,HKG,Asia Pacific,Hong Kong,163,1.16
150.230.212.9,8080,8080,false,NRT,Asia Pacific,Tokyo,133,1.15
158.179.189.235,2082,2082,false,NRT,Asia Pacific,Tokyo,139,1.14
131.186.35.189,2086,2086,false,NRT,Asia Pacific,Tokyo,177,1.09
150.230.222.185,80,80,false,NRT,Asia Pacific,Tokyo,173,1.08
141.147.164.123,8880,8880,false,NRT,Asia Pacific,Tokyo,139,1.06
158.179.178.142,2087,2087,true,NRT,Asia Pacific,Tokyo,173,1.02
132.145.122.95,2096,2096,true,NRT,Asia Pacific,Tokyo,174,0.99
141.147.182.70,2083,2083,true,NRT,Asia Pacific,Tokyo,122,0.95
140.238.61.224,2095,2095,false,NRT,Asia Pacific,Tokyo,129,0.94
154.197.92.118,5010,443,true,HKG,Asia Pacific,Hong Kong,137,0.94
154.197.92.85,5010,443,true,HKG,Asia Pacific,Hong Kong,121,0.92
159.138.2.15,5042,80,false,SEA,North America,Seattle,128,0.90
141.147.160.221,2052,2052,false,NRT,Asia Pacific,Tokyo,121,0.89
150.230.212.9,8880,8880,false,NRT,Asia Pacific,Tokyo,198,0.89
131.186.41.82,2052,2052,false,NRT,Asia Pacific,Tokyo,129,0.89
168.138.212.184,8080,8080,false,NRT,Asia Pacific,Tokyo,121,0.88
131.186.58.151,2082,2082,false,NRT,Asia Pacific,Tokyo,165,0.88
168.138.212.184,2082,2082,false,NRT,Asia Pacific,Tokyo,120,0.83
154.40.63.168,443,443,true,HKG,Asia Pacific,Hong Kong,186,0.82
158.179.188.175,80,80,false,NRT,Asia Pacific,Tokyo,163,0.79
132.145.123.159,2095,2095,false,NRT,Asia Pacific,Tokyo,198,0.78
132.226.231.25,443,443,true,HKG,Asia Pacific,Hong Kong,145,0.77
150.230.212.9,80,80,false,NRT,Asia Pacific,Tokyo,105,0.77
193.32.151.29,43900,443,true,NRT,Asia Pacific,Tokyo,104,0.77
45.143.235.42,2053,443,true,NRT,Asia Pacific,Tokyo,167,0.73
155.248.179.132,80,80,false,HKG,Asia Pacific,Hong Kong,341,0.71
138.3.223.70,2052,2052,false,NRT,Asia Pacific,Tokyo,119,0.71
150.230.212.9,2082,2082,false,NRT,Asia Pacific,Tokyo,170,0.70
152.70.106.13,2096,2096,true,NRT,Asia Pacific,Tokyo,122,0.69
140.238.50.99,8880,8880,false,NRT,Asia Pacific,Tokyo,176,0.69
154.197.92.76,5010,443,true,HKG,Asia Pacific,Hong Kong,192,0.69
20.243.201.2,8443,443,true,NRT,Asia Pacific,Tokyo,175,0.69
141.147.169.131,2095,2095,false,NRT,Asia Pacific,Tokyo,118,0.67
150.230.212.9,8443,8443,true,NRT,Asia Pacific,Tokyo,130,0.67
131.186.41.82,2082,2082,false,NRT,Asia Pacific,Tokyo,128,0.66
141.147.179.64,2082,2082,false,NRT,Asia Pacific,Tokyo,120,0.66
154.197.92.126,5010,443,true,HKG,Asia Pacific,Hong Kong,104,0.65
176.126.114.224,11001,443,true,NRT,Asia Pacific,Tokyo,180,0.64
154.197.92.81,5010,443,true,HKG,Asia Pacific,Hong Kong,178,0.61
