IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.145.180,2086,2086,false,SIN,Asia Pacific,Singapore,114,3.58
8.222.214.231,2096,2096,true,SIN,Asia Pacific,Singapore,284,3.57
8.222.159.252,2052,2052,false,SIN,Asia Pacific,Singapore,276,3.26
8.222.129.32,8080,8080,false,SIN,Asia Pacific,Singapore,163,1.92
47.236.147.146,8080,8080,false,SIN,Asia Pacific,Singapore,240,1.80
47.236.166.131,8080,8080,false,SIN,Asia Pacific,Singapore,310,1.62
8.222.213.221,80,80,false,SIN,Asia Pacific,Singapore,158,1.60
8.219.67.133,8080,8080,false,SIN,Asia Pacific,Singapore,292,1.60
8.222.249.190,2052,2052,false,SIN,Asia Pacific,Singapore,184,1.57
8.219.208.69,2052,2052,false,SIN,Asia Pacific,Singapore,113,1.52
8.219.152.195,8880,8880,false,SIN,Asia Pacific,Singapore,284,1.52
8.219.253.114,8080,8080,false,SIN,Asia Pacific,Singapore,178,1.50
8.222.145.110,2086,2086,false,SIN,Asia Pacific,Singapore,309,1.50
8.219.174.213,2082,2082,false,SIN,Asia Pacific,Singapore,113,1.46
8.219.245.187,2083,2083,true,SIN,Asia Pacific,Singapore,185,1.44
8.219.100.155,2095,2095,false,SIN,Asia Pacific,Singapore,284,1.44
47.245.15.236,2052,2052,false,HKG,Asia Pacific,Hong Kong,309,1.40
8.219.112.75,2086,2086,false,SIN,Asia Pacific,Singapore,156,1.39
8.222.211.124,2086,2086,false,SIN,Asia Pacific,Singapore,159,1.37
8.219.79.74,2086,0,false,SIN,Asia Pacific,Singapore,113,1.37
8.219.253.114,2052,2052,false,SIN,Asia Pacific,Singapore,111,1.36
8.219.241.189,443,443,true,SIN,Asia Pacific,Singapore,312,1.35
8.219.93.5,2095,2095,false,SIN,Asia Pacific,Singapore,130,1.35
8.222.180.86,8080,0,false,SIN,Asia Pacific,Singapore,220,1.34
47.236.121.7,2095,2095,false,SIN,Asia Pacific,Singapore,125,1.34
47.236.83.239,2086,2086,false,SIN,Asia Pacific,Singapore,264,1.33
47.236.144.208,8080,8080,false,SIN,Asia Pacific,Singapore,184,1.33
47.236.172.71,8880,0,false,SIN,Asia Pacific,Singapore,279,1.31
8.219.42.72,8080,0,false,SIN,Asia Pacific,Singapore,191,1.31
47.236.145.180,2052,2052,false,SIN,Asia Pacific,Singapore,248,1.30
8.219.100.155,8080,8080,false,SIN,Asia Pacific,Singapore,166,1.30
47.236.163.95,2095,2095,false,SIN,Asia Pacific,Singapore,260,1.29
47.236.149.107,2052,2052,false,SIN,Asia Pacific,Singapore,300,1.28
8.219.79.74,2095,2095,false,SIN,Asia Pacific,Singapore,131,1.28
158.178.241.45,8080,8080,false,SIN,Asia Pacific,Singapore,196,1.27
8.222.167.8,2086,0,false,SIN,Asia Pacific,Singapore,125,1.27
8.219.111.147,2086,2086,false,SIN,Asia Pacific,Singapore,261,1.27
8.219.50.180,80,80,false,SIN,Asia Pacific,Singapore,167,1.26
8.219.65.191,2095,2095,false,SIN,Asia Pacific,Singapore,180,1.25
47.236.97.254,2096,2096,true,SIN,Asia Pacific,Singapore,148,1.24
8.222.140.87,8880,8880,false,SIN,Asia Pacific,Singapore,276,1.24
8.219.174.213,8080,8080,false,SIN,Asia Pacific,Singapore,178,1.24
8.219.93.5,2096,2096,true,SIN,Asia Pacific,Singapore,112,1.24
47.236.121.23,8443,8443,true,SIN,Asia Pacific,Singapore,129,1.24
47.236.117.48,2052,2052,false,SIN,Asia Pacific,Singapore,185,1.23
47.236.4.129,80,80,false,SIN,Asia Pacific,Singapore,268,1.23
8.222.168.234,2086,2086,false,SIN,Asia Pacific,Singapore,260,1.23
47.236.75.113,2086,2086,false,SIN,Asia Pacific,Singapore,179,1.22
8.222.140.87,2082,2082,false,SIN,Asia Pacific,Singapore,127,1.22
8.222.209.223,8080,8080,false,SIN,Asia Pacific,Singapore,261,1.21
47.236.121.7,2082,2082,false,SIN,Asia Pacific,Singapore,143,1.21
8.219.82.35,2095,2095,false,SIN,Asia Pacific,Singapore,134,1.21
8.222.208.83,80,80,false,SIN,Asia Pacific,Singapore,284,1.21
47.236.144.156,8880,8880,false,SIN,Asia Pacific,Singapore,178,1.20
8.219.201.245,2083,2083,true,SIN,Asia Pacific,Singapore,295,1.20
8.219.50.180,2082,2082,false,SIN,Asia Pacific,Singapore,195,1.20
8.222.213.221,8880,8880,false,SIN,Asia Pacific,Singapore,161,1.19
8.222.211.124,2095,2095,false,SIN,Asia Pacific,Singapore,113,1.19
8.219.202.130,2082,2082,false,SIN,Asia Pacific,Singapore,276,1.19
47.236.94.113,8880,8880,false,SIN,Asia Pacific,Singapore,289,1.18
8.222.240.47,2082,2082,false,SIN,Asia Pacific,Singapore,184,1.18
47.236.4.129,2052,2052,false,SIN,Asia Pacific,Singapore,240,1.17
47.236.172.95,80,80,false,SIN,Asia Pacific,Singapore,165,1.17
8.219.103.65,8080,8080,false,SIN,Asia Pacific,Singapore,128,1.17
47.236.119.253,8080,8080,false,SIN,Asia Pacific,Singapore,157,1.17
8.222.213.221,2096,2096,true,SIN,Asia Pacific,Singapore,127,1.17
8.222.144.50,2086,2086,false,SIN,Asia Pacific,Singapore,277,1.16
8.219.78.1,2052,2052,false,SIN,Asia Pacific,Singapore,184,1.16
47.236.144.208,2095,2095,false,SIN,Asia Pacific,Singapore,169,1.16
8.222.188.56,2095,2095,false,SIN,Asia Pacific,Singapore,268,1.16
8.222.144.50,2082,2082,false,SIN,Asia Pacific,Singapore,179,1.16
8.222.167.8,2087,2087,true,SIN,Asia Pacific,Singapore,190,1.14
8.222.221.197,8880,8880,false,SIN,Asia Pacific,Singapore,192,1.14
8.219.99.169,2095,2095,false,SIN,Asia Pacific,Singapore,312,1.14
8.219.202.130,2053,2053,true,SIN,Asia Pacific,Singapore,176,1.13
47.236.130.95,8880,8880,false,SIN,Asia Pacific,Singapore,207,1.13
8.222.209.223,2095,2095,false,SIN,Asia Pacific,Singapore,183,1.13
8.222.227.191,2052,2052,false,SIN,Asia Pacific,Singapore,295,1.12
8.219.253.18,8080,8080,false,SIN,Asia Pacific,Singapore,252,1.12
8.219.195.47,8880,8880,false,SIN,Asia Pacific,Singapore,186,1.12
47.236.7.206,2096,2096,true,SIN,Asia Pacific,Singapore,223,1.12
